pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
2544.01,21.0689935,15.3646915,5441.0,1.98859,1.0,1.0,2016.0,Transit,0
Kepler-137 b,8.43638723,2.44,5265.0,0.858396,1.0,2.0,2014,Transit,1
Kepler-812 b,10.117121,2.8,7110.0,1.42,1.0,1.0,2016,Transit,1
524.01,12.983175,5.933251,6962.64,1.67983,1.0,1.0,2016.0,Transit,0
2727.01,0.6711626,12.243,5632.0,2.43,1.0,1.0,2016.0,Transit,0
Kepler-1052 b,34.8538276,2.45,5835.0,0.847,1.0,2.0,2016,Transit,1
2443.01,15.6692322,2.6868893,4214.44,0.732115,1.0,1.0,2016.0,Transit,0
HD 197037 b,1035.7,2.44,6150.0,0.95,2.0,1.0,2012,Radial Velocity,1
262.01,11.1452784,2.0671456,5302.58,0.848675,1.0,1.0,2016.0,Transit,0
962.01,4.06269,2.44,5552.0,0.95,1.0,1.0,2016.0,Transit,0
TOI-712 c,51.69906,2.701,4622.0,0.674,1.0,3.0,2022,Transit,1
1036.01,3.7795212,5.98375,5771.0,1.18,1.0,1.0,2016.0,Transit,0
6387.01,1.1669652,12.7459,3452.0,0.48,1.0,1.0,2016.0,Transit,0
Kepler-965 b,134.2527298,2.42,5973.0,0.826,1.0,1.0,2016,Transit,1
7359.01,4.3656102,13.4874,5748.0,1.78,1.0,1.0,2016.0,Transit,0
5071.01,1.6739029,3.44449,6115.5,1.22,1.0,1.0,2016.0,Transit,0
4937.01,5.0414219,11.6667,5838.0,2.5,1.0,1.0,2016.0,Transit,0
HD 3651 b,62.197,2.44,5274.92,0.873266,1.0,1.0,2003,Radial Velocity,1
Kepler-1760 b,38.326218,1.83,5448.0,0.857,1.0,1.0,2021,Transit,1
Kepler-1097 b,187.747220925,2.44,5216.0,0.768703,1.0,1.0,2016,Transit,1
6906.01,3.4770171,11.8571021,5225.91,0.84127,1.0,1.0,2016.0,Transit,0
TOI-1782.01,4.987641028,2.368,4336.0,0.669,1.0,2.0,2024,Transit,1
Kepler-658 b,1.2870749,1.48,4153.0,0.538,1.0,1.0,2016,Transit,1
GJ 229 A c,121.93268,2.44,5552.0,0.95,3.0,2.0,2020,Radial Velocity,1
Kepler-1513 b,160.88462604,2.44,5442.9,0.924669,1.0,2.0,2016,Transit,1
HD 74156 b,51.6385,2.44,5977.0,1.47932,1.0,2.0,2003,Radial Velocity,1
Kepler-1992 b,15.611223,0.91,5466.0,0.946,1.0,1.0,2023,Transit,1
Kepler-228 c,4.13443005,3.423,5660.0,1.104,1.0,3.0,2014,Transit,1
5522.01,1.3852161,6.5271985,6294.0,1.451,1.0,1.0,2016.0,Transit,0
7109.01,3.2396607,2.44,5552.0,0.95,1.0,1.0,2016.0,Transit,0
Kepler-344 b,21.96394,3.0,5752.0,0.96,1.0,2.0,2014,Transit,1
K2-367 b,20.645099,2.413,4348.0,0.625,1.0,1.0,2022,Transit,1
432.01,2.24704,18.1799,6846.0,1.2,1.0,1.0,2016.0,Transit,0
2281.01,210.668358,2.8961818,6683.0,1.52592,1.0,1.0,2016.0,Transit,0
HD 10180 h,2222.0,2.44,5911.0,0.95,1.0,6.0,2010,Radial Velocity,1
6259.01,3.2376482,5.6488,10023.0,2.19,1.0,1.0,2016.0,Transit,0
Kepler-448 c,2500.0,2.44,5552.0,1.4,1.0,2.0,2017,Transit Timing Variations,1
3927.01,4.4921154,14.9094,5353.0,1.08,1.0,1.0,2016.0,Transit,0
Kepler-509 b,41.74598855,2.44,5971.55,1.22162,1.0,1.0,2016,Transit,1
K2-31 b,1.2578332,2.44,5340.0,1.02904,2.0,1.0,2016,Transit,1
7234.01,3.4202745,11.984,6095.0,1.6,1.0,1.0,2016.0,Transit,0
WASP-28 b,3.4088353,2.44,6150.0,1.094,1.0,1.0,2014,Transit,1
Kepler-457 d,10.692115,2.71,6474.0,1.242,1.0,3.0,2021,Transit,1
Kepler-619 d,11.67895492,2.44,5807.76,0.943241,1.0,3.0,2023,Transit,1
4923.01,12.9175271,9.95556,5501.0,1.34,1.0,1.0,2016.0,Transit,0
1949.01,4.6211026,15.4381,6531.7,1.45,1.0,1.0,2016.0,Transit,0
6396.01,8.2100724,15.5396,6427.0,1.96,1.0,1.0,2016.0,Transit,0
4555.01,522.6272677,2.2445426,6199.0,1.40973,1.0,1.0,2016.0,Transit,0
241.01,1.3866519,12.9811619,6286.0,1.07661,1.0,1.0,2016.0,Transit,0
Kepler-242 b,8.203904,2.2,4951.0,0.71,1.0,2.0,2014,Transit,1
Kepler-737 b,28.5991314718,2.44,3793.0,0.517539,1.0,1.0,2016,Transit,1
7470.01,17.9758603,4.7803484,5274.0,0.851795,1.0,1.0,2016.0,Transit,0
K2-141 b,0.2803244,1.51,4570.0,0.681,1.0,2.0,2018,Transit,1
6333.01,2.7205913,3.02214,5784.6,0.96,1.0,1.0,2016.0,Transit,0
K2-169 b,6.37961,1.41,5347.0,0.83,1.0,1.0,2018,Transit,1
7085.01,2.202258,11.2703,3388.0,0.52,1.0,1.0,2016.0,Transit,0
5092.01,2.3626901,6.9577388,5222.44,0.755047,1.0,1.0,2016.0,Transit,0
Kepler-76 b,1.544928884,2.44,6409.0,1.32,1.0,1.0,2013,Orbital Brightness Modulation,1
HD 55696 b,1706.0,2.44,6012.0,0.95,1.0,1.0,2018,Radial Velocity,1
